date,category,sub-category,description,amount
2021-08-15,Discretionary Spending,Restaurants,TERAKAWA RAMEN PRINCETON JUN,14.8
2021-08-14,Monthly Bills,Mobile Phone,Google,40.52
2021-08-14,Discretionary Spending,Subscriptions,CRUNCHYROLL,8.49
2021-08-13,Discretionary Spending,Restaurants,CRESCENT SUSHI ,53.76
2021-08-13,Discretionary Spending,Personal Care,Hair Salon,38.11
2021-08-13,Discretionary Spending,Shopping,JAGEX,25.99
2021-08-11,Discretionary Spending,Personal Care,ULTA,30.49
2021-08-11,Discretionary Spending,Restaurants,SOPHRA GRILL ,47.6
2021-08-10,Discretionary Spending,Work Lunch & Takeout,VIA CARAMICO  ,9.0
2021-08-09,Discretionary Spending,Work Lunch & Takeout,GrubHub,50.65
2021-08-08,Living Expense,Transportation,METROCARD,40.0
2021-08-08,Living Expense,Groceries,Grocery Store,9.0
2021-08-08,Discretionary Spending,Restaurants,SGD Dubu,15.98
2021-08-07,Discretionary Spending,Liquor Store,Buy Rite,102.08
2021-08-07,Discretionary Spending,Restaurants,ROOTS  PRINCETON ,42.72
2021-08-06,Living Expense,Groceries,Grocery Store,18.48
2021-08-05,Discretionary Spending,Restaurants,HAMA  ,46.2
2021-08-04,Discretionary Spending,Shopping,Amazon,25.38
2021-08-03,Living Expense,Laundromat,Dry Cleaners,5.5
2021-08-03,Living Expense,Groceries,Grocery Store,134.72
2021-08-03,Living Expense,Laundromat,Dry Cleaners,55.0
2021-08-03,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,2.17
2021-08-03,Discretionary Spending,Subscriptions,Amazon web services,1.03
2021-08-02,Living Expense,Transportation,METROCARD,127.0
2021-08-02,Living Expense,Transportation,Lyft,17.99
2021-08-02,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,2.38
2021-08-02,Discretionary Spending,Entertainment,Venmo,67.0
2021-08-02,Discretionary Spending,Entertainment,Venmo,99.0
2021-08-02,Discretionary Spending,Subscriptions,PayPal,4.99
2021-08-02,Savings,Investment - Source 1,XYZ Financial Firm,500.0
2021-07-31,Discretionary Spending,Restaurants,DRUNKEN CHICKEN  ,79.5
2021-07-31,Living Expense,Transportation,CDOT PARKING,4.0
2021-07-31,Discretionary Spending,Work Lunch & Takeout,YIFANG TAIWAN FRUIT TEA,21.72
2021-07-31,Discretionary Spending,Subscriptions,GoDaddy.com,38.34
2021-07-30,Discretionary Spending,Liquor Store,Wine & Spirits,38.07
2021-07-30,Discretionary Spending,Work Lunch & Takeout,GrubHub,50.03
2021-07-30,Discretionary Spending,Work Lunch & Takeout,Bistro,11.0
2021-07-30,Discretionary Spending,Work Lunch & Takeout,FOOD CAVE.   ,9.58
2021-07-30,Discretionary Spending,Entertainment,Venmo,16.74
2021-07-29,Discretionary Spending,Work Lunch & Takeout,Refund,11.57
2021-07-28,Discretionary Spending,Restaurants,Refund,65.01
2021-07-28,Discretionary Spending,Personal Care,Hair Salon,24.9
2021-07-28,Discretionary Spending,Subscriptions,Spotify,17.01
2021-07-27,Discretionary Spending,Shopping,Amazon,4.11
2021-07-27,Discretionary Spending,Entertainment,Venmo,10.33
2021-07-27,Discretionary Spending,Entertainment,Venmo,60.93
2021-07-25,Living Expense,Transportation,Etix,11.5
2021-07-25,Discretionary Spending,Restaurants,Café,58.65
2021-07-25,Discretionary Spending,Restaurants,Café,5.5
2021-07-25,Discretionary Spending,Subscriptions,MEDIUM MONTHLY,5.0
2021-07-24,Living Expense,Laundromat,Dry Cleaners,34.0
2021-07-23,Discretionary Spending,Work Lunch & Takeout,Café,10.25
2021-07-23,Discretionary Spending,Work Lunch & Takeout,Chick-Fil-A,5.87
2021-07-23,Living Expense,Transportation,Uber.com,17.96
2021-07-21,Discretionary Spending,Shopping,Fossil,47.91
2021-07-20,Discretionary Spending,Work Lunch & Takeout,Starbucks,2.67
2021-07-20,Discretionary Spending,Work Lunch & Takeout,Café,10.75
2021-07-20,Monthly Bills,Internet,Verizon,39.99
2021-07-20,Monthly Bills,Utilities,ConEd,111.38
2021-07-19,Living Expense,Groceries,Grocery Store,114.44
2021-07-19,Discretionary Spending,Work Lunch & Takeout,Bistro,7.59
2021-07-19,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,3.89
2021-07-19,Discretionary Spending,Restaurants,BUND ON    ,38.66
2021-07-19,Discretionary Spending,Work Lunch & Takeout,FOOD CAVE.   ,8.4
2021-07-19,Discretionary Spending,Restaurants,TST* FANDI MATA  ,42.38
2021-07-19,Discretionary Spending,Liquor Store,#NAME?,7.39
2021-07-18,Living Expense,Transportation,Lyft,67.97
2021-07-18,Living Expense,Transportation,Uber.com,13.9
2021-07-18,Living Expense,Transportation,Uber.com,21.86
2021-07-18,Living Expense,Transportation,Uber.com,3.27
2021-07-17,Discretionary Spending,Restaurants,BT  MIRAGE  ,6.44
2021-07-17,Discretionary Spending,Restaurants,BT  MIRAGE  ,38.66
2021-07-17,Discretionary Spending,Restaurants,BT  MIRAGE  ,24.49
2021-07-16,Discretionary Spending,Subscriptions,CRUNCHYROLL,8.49
2021-07-16,Discretionary Spending,Liquor Store,#NAME?,7.53
2021-07-16,Discretionary Spending,Restaurants,MIKA   ,86.71
2021-07-16,Living Expense,Medical & Health,Duane Reade,4.99
2021-07-15,Discretionary Spending,Personal Care,Hair Salon,110.0
2021-07-15,Discretionary Spending,Liquor Store,Beer Depot,54.01
2021-07-15,Discretionary Spending,Restaurants,TST* ILILI - C ,186.87
2021-07-15,Discretionary Spending,Work Lunch & Takeout,"Ippudo Westside, ",17.42
2021-07-14,Living Expense,Transportation,METROCARD,40.0
2021-07-14,Living Expense,Home Supplies,Bed Bath & Beyond,136.18
2021-07-14,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,3.89
2021-07-14,Monthly Bills,Mobile Phone,Google,47.52
2021-07-14,Discretionary Spending,Shopping,Amazon,11.52
2021-07-14,Discretionary Spending,Shopping,Amazon,28.82
2021-07-12,Discretionary Spending,Work Lunch & Takeout,Café,4.25
2021-07-11,Discretionary Spending,Work Lunch & Takeout,GrubHub,61.34
2021-07-10,Discretionary Spending,Restaurants,BREAK BAR AND BILLARDS  ,18.0
2021-07-10,Discretionary Spending,Restaurants,FITRITION  ,12.27
2021-07-09,Discretionary Spending,Restaurants,EL MERO MERO ,79.68
2021-07-07,Discretionary Spending,Shopping,Amazon,21.42
2021-07-07,Living Expense,Shipping,USPS,6.19
2021-07-07,Savings,Investment - Source 2,XYZ Financial Firm,500.0
2021-07-07,Discretionary Spending,Entertainment,Steam Games,2.12
2021-07-06,Discretionary Spending,Work Lunch & Takeout,VIA CARAMICO  ,8.0
2021-07-06,Discretionary Spending,Entertainment,Venmo,20.0
2021-07-06,Discretionary Spending,Entertainment,Venmo,151.0
2021-07-05,Discretionary Spending,Work Lunch & Takeout,TERIYAKI .  ,17.51
2021-07-05,Living Expense,Groceries,Grocery Store,169.27
2021-07-05,Living Expense,Medical & Health,Quest Diagnostics,158.84
2021-07-04,Discretionary Spending,Entertainment,BELMAR BEACH  NEW ORLEANS LA,19.31
2021-07-03,Discretionary Spending,Work Lunch & Takeout,Chubby Burger & Chicken,19.1
2021-07-03,Discretionary Spending,Subscriptions,Amazon web services,1.08
2021-07-02,Discretionary Spending,Restaurants,CRESCENT SUSHI ,77.11
2021-07-02,Discretionary Spending,Liquor Store,Cork by Harrison Path,21.73
2021-07-01,Discretionary Spending,Subscriptions,PayPal,4.99
2021-06-30,Discretionary Spending,Restaurants, STANTON,35.49
2021-06-30,Living Expense,Transportation,METROCARD,127.0
2021-06-30,Discretionary Spending,Restaurants,Dokodemo,41.26
2021-06-29,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,4.66
2021-06-28,Discretionary Spending,Work Lunch & Takeout,VIA CARAMICO  ,9.5
2021-06-28,Discretionary Spending,Restaurants,T-Swirl Crepe,11.89
2021-06-28,Discretionary Spending,Restaurants,T-Swirl Crepe,1.63
2021-06-28,Discretionary Spending,Subscriptions,Spotify,17.01
2021-06-27,Discretionary Spending,Restaurants,MADERA CUBAN GRILL  ,196.58
2021-06-27,Living Expense,Transportation, WEST PARKING  ,20.0
2021-06-26,Discretionary Spending,Work Lunch & Takeout, Vending Machine,2.0
2021-06-26,Living Expense,Transportation,METROCARD,23.0
2021-06-26,Living Expense,Medical & Health,Duane Reade,9.79
2021-06-25,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,4.85
2021-06-25,Discretionary Spending,Subscriptions,MEDIUM MONTHLY,5.0
2021-06-24,Discretionary Spending,Restaurants,HUPO  ,84.95
2021-06-24,Savings,Investment - Source 1,XYZ Financial Firm,500.0
2021-06-23,Living Expense,Medical & Health,Duane Reade,10.49
2021-06-23,Discretionary Spending,Work Lunch & Takeout,Papa John's,51.6
2021-06-23,Discretionary Spending,Entertainment,DICE.FM ,119.08
2021-06-22,Discretionary Spending,Work Lunch & Takeout,Café,3.2
2021-06-22,Savings,Investment - Source 2,XYZ Financial Firm,500.0
2021-06-22,Monthly Bills,Internet,Verizon,39.99
2021-06-21,Discretionary Spending,Liquor Store,Beer Depot,42.54
2021-06-20,Discretionary Spending,Work Lunch & Takeout,XING FU TANG  ,19.5
2021-06-20,Discretionary Spending,Restaurants,Nan Xiang Xiao Long Bao,69.9
2021-06-18,Discretionary Spending,Restaurants,Boqueria Ues ,145.03
2021-06-18,Monthly Bills,Utilities,ConEd,91.56
2021-06-17,Discretionary Spending,Shopping,Amazon,36.91
2021-06-17,Discretionary Spending,Work Lunch & Takeout,Uber Eats,8.38
2021-06-17,Discretionary Spending,Work Lunch & Takeout,Uber Eats,5.0
2021-06-16,Discretionary Spending,Subscriptions,CRUNCHYROLL,8.49
2021-06-15,Living Expense,Groceries,Refund,138.15
2021-06-15,Discretionary Spending,Subscriptions,Refund,12.0
2021-06-15,Discretionary Spending,Restaurants,TORIFUKU RAMEN  ,39.75
2021-06-14,Discretionary Spending,Liquor Store,Refund,4.36
2021-06-14,Discretionary Spending,Work Lunch & Takeout,Refund,2.2
2021-06-14,Discretionary Spending,Shopping,Amazon,6.48
2021-06-14,Living Expense,Transportation,Uber.com,27.59
2021-06-14,Monthly Bills,Mobile Phone,Google,27.6
2021-06-13,Discretionary Spending,Work Lunch & Takeout,Uber Eats,4.48
2021-06-13,Discretionary Spending,Work Lunch & Takeout,Uber Eats,5.87
2021-06-13,Living Expense,Transportation,Uber.com,5.5
2021-06-12,Discretionary Spending,Restaurants,Buffalo Wild Wings,41.65
2021-06-11,Living Expense,Transportation,PayPal,30.5
2021-06-11,Discretionary Spending,Entertainment,Steam Games,31.98
2021-06-10,Discretionary Spending,Work Lunch & Takeout,Gong Cha,5.72
2021-06-10,Discretionary Spending,Restaurants,Izakaya Mew,41.28
2021-06-09,Discretionary Spending,Shopping,Amazon,17.26
2021-06-08,Discretionary Spending,Work Lunch & Takeout,FOOD CAVE.   ,6.9
2021-06-08,Discretionary Spending,Work Lunch & Takeout,Venmo,15.0
2021-06-07,Discretionary Spending,Work Lunch & Takeout,Café,10.85
2021-06-07,Discretionary Spending,Work Lunch & Takeout,VIA CARAMICO  ,7.57
2021-06-07,Discretionary Spending,Shopping,Amazon,45.51
2021-06-07,Living Expense,Transportation,METROCARD,11.5
2021-06-06,Discretionary Spending,Restaurants,MOMS AND HALSEYS  ,74.06
2021-06-06,Discretionary Spending,Work Lunch & Takeout,LORCA,8.21
2021-06-05,Living Expense,Transportation,METROCARD,11.5
2021-06-04,Discretionary Spending,Work Lunch & Takeout,Yama,15.25
2021-06-04,Discretionary Spending,Restaurants,TST* BEIJA FLOR  ,112.12
2021-06-03,Discretionary Spending,Work Lunch & Takeout,VIA CARAMICO  ,9.0
2021-06-03,Discretionary Spending,Subscriptions,Amazon web services,1.06
2021-06-03,Occasional Expense,Electronics,Playstation Network,152.4
2021-06-02,Living Expense,Transportation,METROCARD,127.0
2021-06-01,Discretionary Spending,Personal Care,Hair Salon,65.32
2021-06-01,Discretionary Spending,Subscriptions,PayPal,4.99
2021-06-01,Living Expense,Transportation,PayPal,26.5
2021-06-01,Discretionary Spending,Shopping,Amazon,20.66
2021-05-31,Living Expense,Groceries,Grocery Store,138.98
2021-05-31,Living Expense,Home Supplies,SP * TUSHYME  ,91.62
2021-05-30,Discretionary Spending,Work Lunch & Takeout,JOLLIBEE,25.83
2021-05-29,Discretionary Spending,Work Lunch & Takeout,Schmackarys,25.0
2021-05-28,Discretionary Spending,Subscriptions,Spotify,15.94
2021-05-28,Discretionary Spending,Restaurants,PSARI,88.04
2021-05-28,Discretionary Spending,Liquor Store,#NAME?,1.95
2021-05-28,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,9.52
2021-05-27,Discretionary Spending,Liquor Store,Wine & Spirits,33.73
2021-05-27,Monthly Bills,Mobile Phone,Verizon Wireless,84.19
2021-05-27,Savings,Investment - Source 2,XYZ Financial Firm,500.0
2021-05-26,Discretionary Spending,Restaurants,John Brown,19.42
2021-05-26,Discretionary Spending,Subscriptions,GoDaddy.com,19.17
2021-05-26,Discretionary Spending,Restaurants,John Brown,46.84
2021-05-25,Monthly Bills,Mobile Phone,Google,979.86
2021-05-25,Discretionary Spending,Subscriptions,MEDIUM MONTHLY,5.0
2021-05-25,Savings,Investment - Source 1,XYZ Financial Firm,500.0
2021-05-24,Discretionary Spending,Work Lunch & Takeout,VIA CARAMICO  ,7.57
2021-05-24,Discretionary Spending,Work Lunch & Takeout,Maki Maki,15.24
2021-05-22,Discretionary Spending,Restaurants,Cash Back Rewards,37.56
2021-05-22,Discretionary Spending,Restaurants,Cash Back Rewards,106.5
2021-05-22,Discretionary Spending,Work Lunch & Takeout,Cash Back Rewards,21.85
2021-05-21,Discretionary Spending,Work Lunch & Takeout,Cash Back Rewards,13.0
2021-05-21,Discretionary Spending,Subscriptions,Cash Back Rewards,10.0
2021-05-20,Monthly Bills,Internet,Cash Back Rewards,39.99
2021-05-19,Discretionary Spending,Work Lunch & Takeout,Cash Back Rewards,7.59
2021-05-19,Discretionary Spending,Work Lunch & Takeout,Cash Back Rewards,12.0
2021-05-18,Monthly Bills,Utilities,ConEd,77.26
2021-05-17,Discretionary Spending,Subscriptions,CRUNCHYROLL,8.49
2021-05-16,Living Expense,Groceries,Grocery Store,143.6
2021-05-15,Discretionary Spending,Clothing,Cole Haan,98.0
2021-05-15,Discretionary Spending,Restaurants,Hanok Korea House Inc.,31.12
2021-05-15,Discretionary Spending,Work Lunch & Takeout,Gong Cha,6.26
2021-05-15,Discretionary Spending,Clothing,Adidas,85.0
2021-05-15,Discretionary Spending,Personal Care,Hair Salon,25.08
2021-05-14,Discretionary Spending,Work Lunch & Takeout,VIA CARAMICO  ,11.0
2021-05-14,Discretionary Spending,Subscriptions,PayPal,4.99
2021-05-13,Discretionary Spending,Work Lunch & Takeout,Café,1.1
2021-05-13,Discretionary Spending,Subscriptions,JAGEX,25.99
2021-05-13,Discretionary Spending,Work Lunch & Takeout,Uber Eats,5.08
2021-05-13,Discretionary Spending,Work Lunch & Takeout,Uber Eats,8.91
2021-05-11,Discretionary Spending,Clothing,LOFT,84.0
2021-05-11,Discretionary Spending,Work Lunch & Takeout, BAKEHOUSE INC  ,11.26
2021-05-11,Discretionary Spending,Work Lunch & Takeout,Café,10.8
2021-05-11,Discretionary Spending,Work Lunch & Takeout,VIA CARAMICO  ,9.5
2021-05-11,Discretionary Spending,Restaurants,Pye Boat Noodle Inc.,29.93
2021-05-10,Discretionary Spending,Work Lunch & Takeout,Bistro,11.43
2021-05-10,Discretionary Spending,Work Lunch & Takeout,VIA CARAMICO  ,6.95
2021-05-09,Discretionary Spending,Liquor Store,LITTLE BROTHERS BEVEFLEMINGTON ,42.61
2021-05-08,Living Expense,Transportation,Wawa,39.82
2021-05-08,Living Expense,Transportation,METROCARD,20.0
2021-05-08,Occasional Expense,Gift,Fossil,43.29
2021-05-08,Discretionary Spending,Clothing,Fossil,43.29
2021-05-08,Discretionary Spending,Clothing,Macy's,102.71
2021-05-07,Discretionary Spending,Restaurants,DIM SUM PALACE ,81.44
2021-05-07,Discretionary Spending,Clothing,Abercrombie & Fitch,205.0
2021-05-07,Discretionary Spending,Clothing,Ann Taylor,84.0
2021-05-06,Living Expense,Medical & Health,Duane Reade,19.59
2021-05-06,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,4.71
2021-05-06,Discretionary Spending,Shopping,Amazon,21.71
2021-05-03,Living Expense,Transportation,METROCARD,127.0
2021-05-03,Discretionary Spending,Subscriptions,Amazon web services,1.04
2021-05-03,Discretionary Spending,Subscriptions,PayPal,4.99
2021-05-02,Living Expense,Home Supplies,Marshalls,21.81
2021-05-02,Living Expense,Groceries,Grocery Store,147.14
2021-05-02,Discretionary Spending,Restaurants,Café,44.3
2021-05-01,Discretionary Spending,Work Lunch & Takeout,NO CHEWING ALLOWED W,25.08
2021-05-01,Discretionary Spending,Work Lunch & Takeout,Chipotle,18.27
2021-05-01,Discretionary Spending,Work Lunch & Takeout,HARRISON S BAGEL SHOP HARRISON ,8.39
2021-05-01,Discretionary Spending,Clothing,Forever ,58.01
2021-04-30,Discretionary Spending,Liquor Store,Wine & Spirits,29.37
2021-04-30,Discretionary Spending,Work Lunch & Takeout,VIA CARAMICO  ,6.95
2021-04-30,Discretionary Spending,Work Lunch & Takeout,King of Falafel & Shawarma,27.75
2021-04-30,Discretionary Spending,Work Lunch & Takeout,Go Mart,6.31
2021-04-30,Discretionary Spending,Work Lunch & Takeout,Bistro,6.59
2021-04-29,Living Expense,Medical & Health,Duane Reade,17.99
2021-04-29,Discretionary Spending,Work Lunch & Takeout,Bistro,11.43
2021-04-29,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,4.85
2021-04-28,Discretionary Spending,Subscriptions,Spotify,15.94
2021-04-28,Monthly Bills,Mobile Phone,Verizon Wireless,84.19
2021-04-27,Discretionary Spending,Work Lunch & Takeout,Suzuki,45.65
2021-04-27,Discretionary Spending,Clothing,Macy's,102.71
2021-04-27,Discretionary Spending,Liquor Store,#NAME?,6.01
2021-04-26,Living Expense,Medical & Health,Duane Reade,13.26
2021-04-26,Living Expense,Transportation,Uber.com,23.62
2021-04-26,Living Expense,Transportation,Uber.com,2.0
2021-04-26,Living Expense,Transportation,Uber.com,50.08
2021-04-26,Living Expense,Transportation,Uber.com,30.66
2021-04-25,Discretionary Spending,Work Lunch & Takeout,QUICK CHEK FOOD STR KEAR ,4.49
2021-04-25,Discretionary Spending,Restaurants,Paulie's Brickhouse Tavern,108.5
2021-04-25,Discretionary Spending,Subscriptions,MEDIUM MONTHLY,5.0
2021-04-23,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,8.1
2021-04-20,Monthly Bills,Utilities,ConEd,65.64
2021-04-20,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,2.06
2021-04-20,Monthly Bills,Internet,Verizon,39.99
2021-04-20,Discretionary Spending,Clothing,Forever ,5.38
2021-04-20,Discretionary Spending,Clothing,Forever ,86.27
2021-04-19,Living Expense,Medical & Health,Duane Reade,8.98
2021-04-19,Living Expense,Laundromat,Dry Cleaners,15.0
2021-04-19,Discretionary Spending,Shopping,Amazon,32.52
2021-04-17,Discretionary Spending,Subscriptions,CRUNCHYROLL,8.49
2021-04-17,Discretionary Spending,Work Lunch & Takeout,GrubHub - Ma LaLa Chinese,52.96
2021-04-17,Discretionary Spending,Work Lunch & Takeout,VIA CARAMICO  ,10.0
2021-04-16,Savings,Investment - Source 2,XYZ Financial Firm,500.0
2021-04-15,Discretionary Spending,Shopping,Amazon,9.24
2021-04-13,Occasional Expense,Gift,Flowers By Lunelly,26.0
2021-04-13,Discretionary Spending,Restaurants,Sake Bar Hagi ,50.41
2021-04-12,Living Expense,Groceries,Grocery Store,210.23
2021-04-11,Discretionary Spending,Work Lunch & Takeout,S & S Calabro Pizzeria,27.54
2021-04-10,Discretionary Spending,Entertainment,SHOWPLACE,45.09
2021-04-10,Discretionary Spending,Restaurants,Reichenbach,182.15
2021-04-10,Discretionary Spending,Restaurants,BIAO SUGAR  ,6.86
2021-04-10,Discretionary Spending,Restaurants,Sake Bar Hagi ,133.82
2021-04-09,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,4.71
2021-04-09,Discretionary Spending,Work Lunch & Takeout,VIA CARAMICO  ,8.66
2021-04-06,Occasional Expense,Gift,Dollar Tree,0.54
2021-04-06,Discretionary Spending,Liquor Store,Wine & Spirits,29.42
2021-04-05,Discretionary Spending,Liquor Store,Wine & Spirits,19.24
2021-04-05,Savings,Investment - Source 2,XYZ Financial Firm,500.0
2021-04-03,Discretionary Spending,Personal Care,ULTA,45.69
2021-04-02,Discretionary Spending,Personal Care,ULTA,23.43
2021-04-02,Discretionary Spending,Subscriptions,Amazon web services,1.05
2021-04-01,Discretionary Spending,Shopping,Amazon,20.68
2021-04-01,Discretionary Spending,Subscriptions,PayPal,4.99
2021-03-30,Discretionary Spending,Subscriptions,PayPal,7.0
2021-03-30,Discretionary Spending,Shopping,Amazon,49.95
2021-03-29,Discretionary Spending,Liquor Store,#NAME?,10.69
2021-03-29,Discretionary Spending,Work Lunch & Takeout,Café,1.55
2021-03-29,Monthly Bills,Mobile Phone,Verizon Wireless,84.16
2021-03-28,Discretionary Spending,Subscriptions,Spotify,15.94
2021-03-28,Living Expense,Groceries,Grocery Store,94.0
2021-03-26,Discretionary Spending,Restaurants,PIG N WHISTLE ON TH ,62.35
2021-03-26,Discretionary Spending,Personal Care,Hair Salon,23.9
2021-03-26,Discretionary Spending,Shopping,Amazon,20.68
2021-03-25,Discretionary Spending,Personal Care,ULTA,69.69
2021-03-25,Discretionary Spending,Personal Care,Sephora,74.09
2021-03-25,Discretionary Spending,Work Lunch & Takeout, Bagel & Coffee Compa,5.36
2021-03-25,Discretionary Spending,Restaurants,LAO MA MA LA TANG.  ,40.72
2021-03-25,Discretionary Spending,Subscriptions,MEDIUM MONTHLY,5.0
2021-03-24,Savings,Investment - Source 1,XYZ Financial Firm,500.0
2021-03-23,Living Expense,Transportation,Lyft,29.57
2021-03-23,Discretionary Spending,Restaurants,Beer Depot,27.95
2021-03-22,Discretionary Spending,Restaurants,PORTENO ,125.41
2021-03-22,Discretionary Spending,Restaurants,Schmackarys,15.0
2021-03-22,Monthly Bills,Internet,Verizon,39.99
2021-03-22,Monthly Bills,Utilities,ConEd,104.71
2021-03-21,Living Expense,Groceries,Grocery Store,147.07
2021-03-21,Discretionary Spending,Entertainment,HY ATTRACTIONS,74.04
2021-03-21,Discretionary Spending,Work Lunch & Takeout,CERASELLA  ,35.24
2021-03-20,Living Expense,Transportation,METROCARD,20.0
2021-03-20,Discretionary Spending,Shopping,Amazon,7.13
2021-03-19,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,2.93
2021-03-19,Discretionary Spending,Work Lunch & Takeout,VIA CARAMICO  ,9.0
2021-03-19,Discretionary Spending,Work Lunch & Takeout,GrubHub,37.38
2021-03-18,Discretionary Spending,Subscriptions,CRUNCHYROLL,8.49
2021-03-14,Discretionary Spending,Work Lunch & Takeout,GrubHub,45.68
2021-03-12,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,2.38
2021-03-11,Discretionary Spending,Restaurants,SUGAR FREAK ,45.0
2021-03-09,Savings,Investment - Source 2,XYZ Financial Firm,500.0
2021-03-08,Discretionary Spending,Work Lunch & Takeout,Café,7.2
2021-03-08,Savings,Investment - Source 1,XYZ Financial Firm,500.0
2021-03-07,Discretionary Spending,Work Lunch & Takeout,GrubHub,72.49
2021-03-06,Living Expense,Groceries,Grocery Store,148.03
2021-03-05,Discretionary Spending,Work Lunch & Takeout,Suzuki,13.15
2021-03-05,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,4.33
2021-03-03,Discretionary Spending,Liquor Store,Wine & Spirits,37.06
2021-03-03,Discretionary Spending,Subscriptions,Amazon web services,1.04
2021-03-01,Discretionary Spending,Subscriptions,Spotify,15.94
2021-03-01,Discretionary Spending,Subscriptions,PayPal,4.99
2021-03-01,Discretionary Spending,Shopping,Amazon,37.74
2021-03-01,Monthly Bills,Mobile Phone,Verizon Wireless,84.16
2021-02-27,Living Expense,Groceries,Grocery Store,220.51
2021-02-27,Discretionary Spending,Work Lunch & Takeout,Papa John's,32.37
2021-02-26,Discretionary Spending,Liquor Store,Wine & Spirits,21.76
2021-02-26,Discretionary Spending,Shopping,Amazon,30.46
2021-02-25,Discretionary Spending,Subscriptions,MEDIUM MONTHLY,5.0
2021-02-22,Discretionary Spending,Work Lunch & Takeout,Dunkin Donuts,2.93
2021-02-22,Monthly Bills,Internet,Verizon,39.99
2021-02-20,Discretionary Spending,Restaurants,HERO THAI  ,52.64
2021-02-19,Monthly Bills,Utilities,ConEd,151.2
2021-02-17,Savings,Investment - Source 2,XYZ Financial Firm,500.0
2021-02-17,Savings,Investment - Source 1,XYZ Financial Firm,500.0
2021-02-16,Occasional Expense,Service Fee,RENEWAL MEMBERSHIP FEE,95.0
2021-02-16,Discretionary Spending,Subscriptions,CRUNCHYROLL,8.49
2021-02-16,Discretionary Spending,Liquor Store,#NAME?,1.89
2021-02-16,Savings,Investment - Source 1,XYZ Financial Firm,500.0
2021-02-16,Discretionary Spending,Entertainment,Steam Games,2.12
2021-02-16,Discretionary Spending,Shopping,JAGEX,25.99
2021-02-14,Discretionary Spending,Personal Care,Hair Salon,41.8
2021-02-13,Living Expense,Groceries,Grocery Store,142.36
2021-02-12,Living Expense,Groceries,Grocery Store,27.28
