Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
8/24/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/23/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/21/2021,Tattoo,,120,debit,Personal Care,,,
8/21/2021,Duane Reade,,25.98,debit,Medical & Health,,,
8/21/2021,Dunkin Donuts,,8.13,debit,Work Lunch & Takeout,,,
8/20/2021,BREAK BAR AND BILLARDS  ,,30,debit,Restaurants,,,
8/20/2021,Amazon,,37.01,debit,Shopping,,,
8/20/2021,Abercrombie & Fitch,,87.44,debit,Clothing,,,
8/20/2021,Verizon,,39.99,debit,Internet,,,
8/20/2021,Company - 1,,1500,credit,Paycheck - Source 1,,,
8/20/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/19/2021,Lucky Cat Izakaya,,64.53,debit,Restaurants,,,
8/19/2021,Expedia,,225.39,debit,Vacation,,,
8/19/2021,Expedia,,225.39,debit,Vacation,,,
8/19/2021,Amazon,,20.64,debit,Shopping,,,
8/19/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/18/2021,ConEd,,119.35,debit,Utilities,,,
8/17/2021,Café,,7.2,debit,Work Lunch & Takeout,,,
8/17/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/16/2021,KINI LIC ,,31.2,debit,Restaurants,,,
8/16/2021,Bistro,,2.99,debit,Work Lunch & Takeout,,,
8/16/2021,Grocery Store,,136.27,debit,Groceries,,,
8/15/2021,TERAKAWA RAMEN PRINCETON JUN,,14.8,debit,Restaurants,,,
8/14/2021,Google,,40.52,debit,Mobile Phone,,,
8/14/2021,CRUNCHYROLL,,8.49,debit,Subscriptions,,,
8/13/2021,CRESCENT SUSHI ,,53.76,debit,Restaurants,,,
8/13/2021,Hair Salon,,38.11,debit,Personal Care,,,
8/13/2021,JAGEX,,25.99,debit,Shopping,,,
8/13/2021,Company - 2,,1500,credit,Paycheck - Source 2,,,
8/11/2021,ULTA,,30.49,debit,Personal Care,,,
8/11/2021,SOPHRA GRILL ,,47.6,debit,Restaurants,,,
8/10/2021,VIA CARAMICO  ,,9,debit,Work Lunch & Takeout,,,
8/10/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/10/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/10/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/9/2021,GrubHub,,50.65,debit,Work Lunch & Takeout,,,
8/9/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/9/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/9/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/9/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/9/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/8/2021,METROCARD,,40,debit,Transportation,,,
8/8/2021,Grocery Store,,9,debit,Groceries,,,
8/8/2021,SGD Dubu,,15.98,debit,Restaurants,,,
8/8/2021,Ally Interest Paid,,3.1,credit,Interest Income,,,
8/8/2021,Ally Interest Paid,,0.33,credit,Interest Income,,,
8/7/2021,Buy Rite,,102.08,debit,Liquor Store,,,
8/7/2021,ROOTS  PRINCETON ,,42.72,debit,Restaurants,,,
8/7/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/7/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/6/2021,Grocery Store,,18.48,debit,Groceries,,,
8/6/2021,Company - 1,,1500,credit,Paycheck - Source 1,,,
8/5/2021,HAMA  ,,46.2,debit,Restaurants,,,
8/4/2021,Amazon,,25.38,debit,Shopping,,,
8/3/2021,Dry Cleaners,,5.5,debit,Laundromat,,,
8/3/2021,Grocery Store,,134.72,debit,Groceries,,,
8/3/2021,Dry Cleaners,,55,debit,Laundromat,,,
8/3/2021,Dunkin Donuts,,2.17,debit,Work Lunch & Takeout,,,
8/3/2021,Amazon web services,,1.03,debit,Subscriptions,,,
8/2/2021,METROCARD,,127,debit,Transportation,,,
8/2/2021,Lyft,,17.99,debit,Transportation,,,
8/2/2021,Dunkin Donuts,,2.38,debit,Work Lunch & Takeout,,,
8/2/2021,Venmo,,67,debit,Entertainment,,,
8/2/2021,Venmo,,99,debit,Entertainment,,,
8/2/2021,PayPal,,4.99,debit,Subscriptions,,,
8/2/2021,XYZ Financial Firm,,500,debit,Investment - Source 1,,,
8/2/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/2/2021,Cash Back Rewards,,26.24,credit,Cash Back Rewards,,,
8/2/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/2/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/2/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
7/31/2021,DRUNKEN CHICKEN  ,,79.5,debit,Restaurants,,,
7/31/2021,CDOT PARKING,,4,debit,Transportation,,,
7/31/2021,YIFANG TAIWAN FRUIT TEA,,21.72,debit,Work Lunch & Takeout,,,
7/31/2021,GoDaddy.com,,38.34,debit,Subscriptions,,,
7/30/2021,Wine & Spirits,,38.07,debit,Liquor Store,,,
7/30/2021,GrubHub,,50.03,debit,Work Lunch & Takeout,,,
7/30/2021,Bistro,,11,debit,Work Lunch & Takeout,,,
7/30/2021,FOOD CAVE.   ,,9.58,debit,Work Lunch & Takeout,,,
7/30/2021,Venmo,,16.74,debit,Entertainment,,,
7/30/2021,Company - 2,,1500,credit,Paycheck - Source 2,,,
7/30/2021,Refund,,22.15,credit,Refund,,,
7/29/2021,Refund,,11.57,debit,Work Lunch & Takeout,,,
7/28/2021,Refund,,65.01,debit,Restaurants,,,
7/28/2021,Hair Salon,,24.9,debit,Personal Care,,,
7/28/2021,Spotify,,17.01,debit,Subscriptions,,,
7/27/2021,Amazon,,4.11,credit,Shopping,,,
7/27/2021,Venmo,,10.33,debit,Entertainment,,,
7/27/2021,Venmo,,60.93,debit,Entertainment,,,
7/25/2021,Etix,,11.5,debit,Transportation,,,
7/25/2021,Café,,58.65,debit,Restaurants,,,
7/25/2021,Café,,5.5,debit,Restaurants,,,
7/25/2021,MEDIUM MONTHLY,,5,debit,Subscriptions,,,
7/24/2021,Dry Cleaners,,34,debit,Laundromat,,,
7/23/2021,Café,,10.25,debit,Work Lunch & Takeout,,,
7/23/2021,Chick-Fil-A,,5.87,debit,Work Lunch & Takeout,,,
7/23/2021,Company - 1,,1500,credit,Paycheck - Source 1,,,
7/23/2021,Uber.com,,17.96,debit,Transportation,,,
7/21/2021,Fossil,,47.91,debit,Shopping,,,
7/20/2021,Starbucks,,2.67,debit,Work Lunch & Takeout,,,
7/20/2021,Café,,10.75,debit,Work Lunch & Takeout,,,
7/20/2021,Verizon,,39.99,debit,Internet,,,
7/20/2021,ConEd,,111.38,debit,Utilities,,,
7/19/2021,Grocery Store,,114.44,debit,Groceries,,,
7/19/2021,Bistro,,7.59,debit,Work Lunch & Takeout,,,
7/19/2021,Dunkin Donuts,,3.89,debit,Work Lunch & Takeout,,,
7/19/2021,BUND ON    ,,38.66,debit,Restaurants,,,
7/19/2021,FOOD CAVE.   ,,8.4,debit,Work Lunch & Takeout,,,
7/19/2021,TST* FANDI MATA  ,,42.38,debit,Restaurants,,,
7/19/2021,#NAME?,,7.39,debit,Liquor Store,,,
7/18/2021,Lyft,,67.97,debit,Transportation,,,
7/18/2021,Uber.com,,13.9,debit,Transportation,,,
7/18/2021,Uber.com,,21.86,debit,Transportation,,,
7/18/2021,Uber.com,,3.27,debit,Transportation,,,
7/17/2021,BT  MIRAGE  ,,6.44,debit,Restaurants,,,
7/17/2021,BT  MIRAGE  ,,38.66,debit,Restaurants,,,
7/17/2021,BT  MIRAGE  ,,24.49,debit,Restaurants,,,
7/16/2021,CRUNCHYROLL,,8.49,debit,Subscriptions,,,
7/16/2021,#NAME?,,7.53,debit,Liquor Store,,,
7/16/2021,Company - 2,,1500,credit,Paycheck - Source 2,,,
7/16/2021,MIKA   ,,86.71,debit,Restaurants,,,
7/16/2021,Duane Reade,,4.99,debit,Medical & Health,,,
7/15/2021,Hair Salon,,110,debit,Personal Care,,,
7/15/2021,Beer Depot,,54.01,debit,Liquor Store,,,
7/15/2021,TST* ILILI - C ,,186.87,debit,Restaurants,,,
7/15/2021,"Ippudo Westside, ",,17.42,debit,Work Lunch & Takeout,,,
7/14/2021,METROCARD,,40,debit,Transportation,,,
7/14/2021,Bed Bath & Beyond,,136.18,debit,Home Supplies,,,
7/14/2021,Dunkin Donuts,,3.89,debit,Work Lunch & Takeout,,,
7/14/2021,Google,,47.52,debit,Mobile Phone,,,
7/14/2021,Amazon,,11.52,debit,Shopping,,,
7/14/2021,Amazon,,28.82,debit,Shopping,,,
7/12/2021,Café,,4.25,debit,Work Lunch & Takeout,,,
7/11/2021,GrubHub,,61.34,debit,Work Lunch & Takeout,,,
7/11/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
7/10/2021,BREAK BAR AND BILLARDS  ,,18,debit,Restaurants,,,
7/10/2021,FITRITION  ,,12.27,debit,Restaurants,,,
7/9/2021,EL MERO MERO ,,79.68,debit,Restaurants,,,
7/9/2021,Company - 1,,1500,credit,Paycheck - Source 1,,,
7/8/2021,Ally Interest Paid,,3,credit,Interest Income,,,
7/8/2021,Ally Interest Paid,,0.45,credit,Interest Income,,,
7/7/2021,Amazon,,21.42,debit,Shopping,,,
7/7/2021,USPS,,6.19,debit,Shipping,,,
7/7/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
7/7/2021,XYZ Financial Firm,,500,debit,Investment - Source 2,,,
7/7/2021,Steam Games,,2.12,debit,Entertainment,,,
7/7/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
7/7/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
7/7/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
7/6/2021,VIA CARAMICO  ,,8,debit,Work Lunch & Takeout,,,
7/6/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
7/6/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
7/6/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
7/6/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
7/6/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
7/6/2021,Venmo,,20,debit,Entertainment,,,
7/6/2021,Venmo,,151,debit,Entertainment,,,
7/6/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
7/5/2021,TERIYAKI .  ,,17.51,debit,Work Lunch & Takeout,,,
7/5/2021,Grocery Store,,169.27,debit,Groceries,,,
7/5/2021,Quest Diagnostics,,158.84,debit,Medical & Health,,,
7/4/2021,BELMAR BEACH  NEW ORLEANS LA,,19.31,debit,Entertainment,,,
7/3/2021,Chubby Burger & Chicken,,19.1,debit,Work Lunch & Takeout,,,
7/3/2021,Amazon web services,,1.08,debit,Subscriptions,,,
7/2/2021,CRESCENT SUSHI ,,77.11,debit,Restaurants,,,
7/2/2021,Cork by Harrison Path,,21.73,debit,Liquor Store,,,
7/2/2021,Company - 2,,1500,credit,Paycheck - Source 2,,,
7/1/2021,PayPal,,4.99,debit,Subscriptions,,,
6/30/2021, STANTON,,35.49,debit,Restaurants,,,
6/30/2021,METROCARD,,127,debit,Transportation,,,
6/30/2021,Dokodemo,,41.26,debit,Restaurants,,,
6/29/2021,Dunkin Donuts,,4.66,debit,Work Lunch & Takeout,,,
6/28/2021,VIA CARAMICO  ,,9.5,debit,Work Lunch & Takeout,,,
6/28/2021,T-Swirl Crepe,,11.89,debit,Restaurants,,,
6/28/2021,T-Swirl Crepe,,1.63,debit,Restaurants,,,
6/28/2021,Spotify,,17.01,debit,Subscriptions,,,
6/27/2021,MADERA CUBAN GRILL  ,,196.58,debit,Restaurants,,,
6/27/2021, WEST PARKING  ,,20,debit,Transportation,,,
6/26/2021, Vending Machine,,2,debit,Work Lunch & Takeout,,,
6/26/2021,METROCARD,,23,debit,Transportation,,,
6/26/2021,Duane Reade,,9.79,debit,Medical & Health,,,
6/25/2021,Dunkin Donuts,,4.85,debit,Work Lunch & Takeout,,,
6/25/2021,MEDIUM MONTHLY,,5,debit,Subscriptions,,,
6/25/2021,Company - 1,,1500,credit,Paycheck - Source 1,,,
6/24/2021,HUPO  ,,84.95,debit,Restaurants,,,
6/24/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
6/24/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
6/24/2021,XYZ Financial Firm,,500,debit,Investment - Source 1,,,
6/24/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
6/24/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
6/23/2021,Duane Reade,,10.49,debit,Medical & Health,,,
6/23/2021,Papa John's,,51.6,debit,Work Lunch & Takeout,,,
6/23/2021,DICE.FM ,,119.08,debit,Entertainment,,,
6/22/2021,Café,,3.2,debit,Work Lunch & Takeout,,,
6/22/2021,XYZ Financial Firm,,500,debit,Investment - Source 2,,,
6/22/2021,Verizon,,39.99,debit,Internet,,,
6/21/2021,Beer Depot,,42.54,debit,Liquor Store,,,
6/20/2021,XING FU TANG  ,,19.5,debit,Work Lunch & Takeout,,,
6/20/2021,Nan Xiang Xiao Long Bao,,69.9,debit,Restaurants,,,
6/18/2021,Boqueria Ues ,,145.03,debit,Restaurants,,,
6/18/2021,ConEd,,91.56,debit,Utilities,,,
6/18/2021,Company - 2,,1500,credit,Paycheck - Source 2,,,
6/17/2021,Amazon,,36.91,debit,Shopping,,,
6/17/2021,Uber Eats,,8.38,debit,Work Lunch & Takeout,,,
6/17/2021,Uber Eats,,5,debit,Work Lunch & Takeout,,,
6/16/2021,CRUNCHYROLL,,8.49,debit,Subscriptions,,,
6/16/2021,Refund,,44,credit,Refund,,,
6/15/2021,Refund,,138.15,debit,Groceries,,,
6/15/2021,Refund,,12,debit,Subscriptions,,,
6/15/2021,TORIFUKU RAMEN  ,,39.75,debit,Restaurants,,,
6/14/2021,Refund,,91.62,credit,Refund,,,
6/14/2021,Refund,,4.36,debit,Liquor Store,,,
6/14/2021,Refund,,2.2,debit,Work Lunch & Takeout,,,
6/14/2021,Amazon,,6.48,debit,Shopping,,,
6/14/2021,Uber.com,,27.59,debit,Transportation,,,
6/14/2021,Google,,27.6,debit,Mobile Phone,,,
6/13/2021,Uber Eats,,4.48,debit,Work Lunch & Takeout,,,
6/13/2021,Uber Eats,,5.87,debit,Work Lunch & Takeout,,,
6/13/2021,Uber.com,,5.5,debit,Transportation,,,
6/12/2021,Buffalo Wild Wings,,41.65,debit,Restaurants,,,
6/11/2021,Company - 1,,1500,credit,Paycheck - Source 1,,,
6/11/2021,PayPal,,30.5,debit,Transportation,,,
6/11/2021,Steam Games,,31.98,debit,Entertainment,,,
6/10/2021,Gong Cha,,5.72,debit,Work Lunch & Takeout,,,
6/10/2021,Izakaya Mew,,41.28,debit,Restaurants,,,
6/9/2021,Amazon,,17.26,debit,Shopping,,,
6/9/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
6/9/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
6/8/2021,FOOD CAVE.   ,,6.9,debit,Work Lunch & Takeout,,,
6/8/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
6/8/2021,Venmo,,15,debit,Work Lunch & Takeout,,,
6/8/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
6/8/2021,Ally Interest Paid,,3.1,credit,Interest Income,,,
6/8/2021,Ally Interest Paid,,0.37,credit,Interest Income,,,
6/7/2021,Café,,10.85,debit,Work Lunch & Takeout,,,
6/7/2021,VIA CARAMICO  ,,7.57,debit,Work Lunch & Takeout,,,
6/7/2021,Amazon,,45.51,debit,Shopping,,,
6/7/2021,METROCARD,,11.5,debit,Transportation,,,
6/6/2021,MOMS AND HALSEYS  ,,74.06,debit,Restaurants,,,
6/6/2021,LORCA,,8.21,debit,Work Lunch & Takeout,,,
6/5/2021,METROCARD,,11.5,debit,Transportation,,,
6/4/2021,Yama,,15.25,debit,Work Lunch & Takeout,,,
6/4/2021,TST* BEIJA FLOR  ,,112.12,debit,Restaurants,,,
6/4/2021,Company - 2,,1500,credit,Paycheck - Source 2,,,
6/3/2021,VIA CARAMICO  ,,9,debit,Work Lunch & Takeout,,,
6/3/2021,Amazon web services,,1.06,debit,Subscriptions,,,
6/3/2021,Playstation Network,,152.4,debit,Electronics,,,
6/2/2021,METROCARD,,127,debit,Transportation,,,
6/2/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
6/2/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
6/2/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
6/2/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
6/2/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
6/2/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
6/1/2021,Hair Salon,,65.32,debit,Personal Care,,,
6/1/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
6/1/2021,PayPal,,4.99,debit,Subscriptions,,,
6/1/2021,PayPal,,26.5,debit,Transportation,,,
6/1/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
6/1/2021,Amazon,,20.66,debit,Shopping,,,
6/1/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
6/1/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
5/31/2021,Grocery Store,,138.98,debit,Groceries,,,
5/31/2021,SP * TUSHYME  ,,91.62,debit,Home Supplies,,,
5/30/2021,JOLLIBEE,,25.83,debit,Work Lunch & Takeout,,,
5/29/2021,Schmackarys,,25,debit,Work Lunch & Takeout,,,
5/28/2021,Spotify,,15.94,debit,Subscriptions,,,
5/28/2021,PSARI,,88.04,debit,Restaurants,,,
5/28/2021,#NAME?,,1.95,debit,Liquor Store,,,
5/28/2021,Dunkin Donuts,,9.52,debit,Work Lunch & Takeout,,,
5/28/2021,Company - 1,,1500,credit,Paycheck - Source 1,,,
5/27/2021,Wine & Spirits,,33.73,debit,Liquor Store,,,
5/27/2021,Verizon Wireless,,84.19,debit,Mobile Phone,,,
5/27/2021,XYZ Financial Firm,,500,debit,Investment - Source 2,,,
5/26/2021,John Brown,,19.42,debit,Restaurants,,,
5/26/2021,GoDaddy.com,,19.17,debit,Subscriptions,,,
5/26/2021,John Brown,,46.84,debit,Restaurants,,,
5/25/2021,Google,,979.86,debit,Mobile Phone,,,
5/25/2021,MEDIUM MONTHLY,,5,debit,Subscriptions,,,
5/25/2021,XYZ Financial Firm,,500,debit,Investment - Source 1,,,
5/24/2021,VIA CARAMICO  ,,7.57,debit,Work Lunch & Takeout,,,
5/24/2021,Maki Maki,,15.24,debit,Work Lunch & Takeout,,,
5/24/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
5/23/2021,Cash Back Rewards,,75,credit,Cash Back Rewards,,,
5/23/2021,Cash Back Rewards,,144.86,credit,Cash Back Rewards,,,
5/22/2021,Cash Back Rewards,,37.56,debit,Restaurants,,,
5/22/2021,Cash Back Rewards,,106.5,debit,Restaurants,,,
5/22/2021,Cash Back Rewards,,21.85,debit,Work Lunch & Takeout,,,
5/21/2021,Cash Back Rewards,,13,debit,Work Lunch & Takeout,,,
5/21/2021,Cash Back Rewards,,1500,credit,Paycheck - Source 2,,,
5/21/2021,Cash Back Rewards,,10,debit,Subscriptions,,,
5/20/2021,Cash Back Rewards,,39.99,debit,Internet,,,
5/19/2021,Cash Back Rewards,,7.59,debit,Work Lunch & Takeout,,,
5/19/2021,Cash Back Rewards,,12,debit,Work Lunch & Takeout,,,
5/18/2021,ConEd,,77.26,debit,Utilities,,,
5/17/2021,CRUNCHYROLL,,8.49,debit,Subscriptions,,,
5/16/2021,Grocery Store,,143.6,debit,Groceries,,,
5/15/2021,Cole Haan,,98,debit,Clothing,,,
5/15/2021,Hanok Korea House Inc.,,31.12,debit,Restaurants,,,
5/15/2021,Gong Cha,,6.26,debit,Work Lunch & Takeout,,,
5/15/2021,Adidas,,85,debit,Clothing,,,
5/15/2021,Hair Salon,,25.08,debit,Personal Care,,,
5/14/2021,VIA CARAMICO  ,,11,debit,Work Lunch & Takeout,,,
5/14/2021,Company - 1,,1500,credit,Paycheck - Source 1,,,
5/14/2021,PayPal,,4.99,debit,Subscriptions,,,
5/14/2021,Company - 1,,1500,credit,Paycheck - Source 1,,,
5/13/2021,Café,,1.1,debit,Work Lunch & Takeout,,,
5/13/2021,JAGEX,,25.99,debit,Subscriptions,,,
5/13/2021,Uber Eats,,5.08,debit,Work Lunch & Takeout,,,
5/13/2021,Uber Eats,,8.91,debit,Work Lunch & Takeout,,,
5/11/2021,LOFT,,84,credit,Clothing,,,
5/11/2021, BAKEHOUSE INC  ,,11.26,debit,Work Lunch & Takeout,,,
5/11/2021,Café,,10.8,debit,Work Lunch & Takeout,,,
5/11/2021,VIA CARAMICO  ,,9.5,debit,Work Lunch & Takeout,,,
5/11/2021,Pye Boat Noodle Inc.,,29.93,debit,Restaurants,,,
5/10/2021,Bistro,,11.43,debit,Work Lunch & Takeout,,,
5/10/2021,VIA CARAMICO  ,,6.95,debit,Work Lunch & Takeout,,,
5/9/2021,LITTLE BROTHERS BEVEFLEMINGTON ,,42.61,debit,Liquor Store,,,
5/8/2021,Ally Interest Paid,,0.34,credit,Interest Income,,,
5/8/2021,Ally Interest Paid,,3,credit,Interest Income,,,
5/8/2021,Wawa,,39.82,debit,Transportation,,,
5/8/2021,METROCARD,,20,debit,Transportation,,,
5/8/2021,Fossil,,43.29,debit,Gift,,,
5/8/2021,Fossil,,43.29,debit,Clothing,,,
5/8/2021,Macy's,,102.71,credit,Clothing,,,
5/7/2021,DIM SUM PALACE ,,81.44,debit,Restaurants,,,
5/7/2021,Company - 2,,1500,credit,Paycheck - Source 2,,,
5/7/2021,Abercrombie & Fitch,,205,debit,Clothing,,,
5/7/2021,Ann Taylor,,84,debit,Clothing,,,
5/6/2021,Duane Reade,,19.59,debit,Medical & Health,,,
5/6/2021,Dunkin Donuts,,4.71,debit,Work Lunch & Takeout,,,
5/6/2021,Amazon,,21.71,debit,Shopping,,,
5/3/2021,METROCARD,,127,debit,Transportation,,,
5/3/2021,Amazon web services,,1.04,debit,Subscriptions,,,
5/3/2021,PayPal,,4.99,debit,Subscriptions,,,
5/2/2021,Marshalls,,21.81,debit,Home Supplies,,,
5/2/2021,Grocery Store,,147.14,debit,Groceries,,,
5/2/2021,Café,,44.3,debit,Restaurants,,,
5/1/2021,NO CHEWING ALLOWED W,,25.08,debit,Work Lunch & Takeout,,,
5/1/2021,Chipotle,,18.27,debit,Work Lunch & Takeout,,,
5/1/2021,HARRISON S BAGEL SHOP HARRISON ,,8.39,debit,Work Lunch & Takeout,,,
5/1/2021,Forever ,,58.01,credit,Clothing,,,
4/30/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
4/30/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
4/30/2021,Wine & Spirits,,29.37,debit,Liquor Store,,,
4/30/2021,VIA CARAMICO  ,,6.95,debit,Work Lunch & Takeout,,,
4/30/2021,King of Falafel & Shawarma,,27.75,debit,Work Lunch & Takeout,,,
4/30/2021,Go Mart,,6.31,debit,Work Lunch & Takeout,,,
4/30/2021,Bistro,,6.59,debit,Work Lunch & Takeout,,,
4/29/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
4/29/2021,Duane Reade,,17.99,debit,Medical & Health,,,
4/29/2021,Bistro,,11.43,debit,Work Lunch & Takeout,,,
4/29/2021,Dunkin Donuts,,4.85,debit,Work Lunch & Takeout,,,
4/29/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
4/29/2021,Company - 1,,1500,credit,Paycheck - Source 1,,,
4/28/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
4/28/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
4/28/2021,Spotify,,15.94,debit,Subscriptions,,,
4/28/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
4/28/2021,Verizon Wireless,,84.19,debit,Mobile Phone,,,
4/28/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
4/28/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
4/27/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
4/27/2021,Suzuki,,45.65,debit,Work Lunch & Takeout,,,
4/27/2021,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
4/27/2021,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
4/27/2021,Macy's,,102.71,debit,Clothing,,,
4/27/2021,#NAME?,,6.01,debit,Liquor Store,,,
4/26/2021,Duane Reade,,13.26,debit,Medical & Health,,,
4/26/2021,Uber.com,,23.62,debit,Transportation,,,
4/26/2021,Uber.com,,2,debit,Transportation,,,
4/26/2021,Uber.com,,50.08,debit,Transportation,,,
4/26/2021,Uber.com,,30.66,credit,Transportation,,,
4/25/2021,QUICK CHEK FOOD STR KEAR ,,4.49,debit,Work Lunch & Takeout,,,
4/25/2021,Paulie's Brickhouse Tavern,,108.5,debit,Restaurants,,,
4/25/2021,MEDIUM MONTHLY,,5,debit,Subscriptions,,,
